;Country;Population;longitude;latitude;N;Frequency_of_digestors;Reference
522;AFGHANISTAN;Hazara;69,18;34,52;10;0,2;Rahimi, A. G., et al. (1976) Hum.Genet. 34, 57.
523;AFGHANISTAN;Mixed urban;69,18;34,52;34;0,24;Rahimi, A. G., et al. (1976) Hum.Genet. 34, 57.
524;AFGHANISTAN;Pasha-I;71;36;60;0,13;Rahimi, A. G., et al. (1976) Hum.Genet. 34, 57.
525;AFGHANISTAN;Pashtun;69,18;34,52;71;0,21;Rahimi, A. G., et al. (1976) Hum.Genet. 34, 57.
526;AFGHANISTAN;Tajik;69,18;34,52;79;0,18;Rahimi, A. G., et al. (1976) Hum.Genet. 34, 57.
527;AFGHANISTAN;Uzbek;69,18;34,52;16;0;Rahimi, A. G., et al. (1976) Hum.Genet. 34, 57.
1;Algeria;Mozabite;1,659626;28,033886;60;0,39;Bersaglieri, 04 (with adaptions in Itan 10)
2;Angola;Kuvale;17,873887;-11,202692;54;0,12;Coelho, 09
3;Angola;Nyaneka-Nkhumbi;17,873887;-11,202692;153;0,06;Coelho, 09
4;Angola;Ovimbundu;17,873887;-11,202692;96;0,02;Coelho, 09
5;Angola;San;17,873887;-11,202692;20;0,1;Breton, 2014. Lactase
6;Angola;San (Khoe speaking) in Angola, Botswana and Namibia;17,873887;-11,202692;19;0,05;Breton, 2014. Lactase
7;Australia;Caucasians;133,775136;-25,274398;71;0,82;Barrett, 2009. Comparison
8;Australia;Aboriginal adults (around Derby in Western Australia);133,775136;-25,274398;45;0,16;Brand, 1983. Lactose
9;Austria;Adolescent Austrians;14,550072;47,516231;528;0,799;Rosenkranz, 82. Distribution
10;Austria;Not specified;14,550072;47,516231;30;0,8;Ledochowski, 98. Lactose
11;Austria;Not specified;14,550072;47,516231;33;0,879;Finkenstedt, 86. Lactose.
12;Austria;Caucasian men (ethnicitity not specified);14,550072;47,516231;239;0,73;Gugatschka, 2007. Calcium
454;AUSTRIA;Austrian;14;47,75;118;0,75;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
455;AUSTRIA;Austrian;14;47,75;57;0,79;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
456;AUSTRIA;Austrian;14;47,75;88;0,8;Rosenkranz, W., et al. (1982) Hum.Genet 62, 158.
